Model,Dataset,Artifact,Base_F1,Base_F1_Std,Art_F1,Art_F1_Std,Prec_Art,Rec_Art,RPD,Robustness_R,Robustness_R_Std,ECE_Delta,ECE_Delta_CI,PFR_Mean,PFR_Std,NFR_Mean,NFR_Std,CosSim_Mean,CosSim_Std,EucDist_Mean,Softmax_Delta
vit-base,ANORAK,dust,0.3779,0.0184,0.3833,0.0187,0.3854,0.5093,-1.46,101.46,2.61,-0.0456,"[np.float64(-0.0545), np.float64(-0.0373)]",6.73,0.97,0.37,0.15,0.8783,0.0026,0.27,0.0092
vit-base,ANORAK,fold,0.3779,0.0184,0.35,0.0168,0.3521,0.428,7.28,92.72,4.04,-0.0751,"[np.float64(-0.0884), np.float64(-0.061)]",23.92,1.6,1.51,0.3,0.6745,0.0037,0.5191,0.0263
vit-base,ANORAK,marker,0.3779,0.0184,0.3633,0.0182,0.3689,0.4772,3.81,96.19,3.18,-0.0448,"[np.float64(-0.0539), np.float64(-0.0365)]",5.82,0.87,0.42,0.16,0.8344,0.0021,0.3661,0.0153
vit-base,ANORAK,prec,0.3779,0.0184,0.336,0.0157,0.3282,0.4244,10.99,89.01,3.82,-0.108,"[np.float64(-0.1234), np.float64(-0.093)]",31.21,1.74,1.99,0.35,0.581,0.0044,0.5929,0.0229
vit-base,ANORAK,stitch,0.3779,0.0184,0.3771,0.0176,0.3855,0.5352,0.17,99.83,2.66,-0.0035,"[np.float64(-0.0083), np.float64(0.0014)]",0.0,0.0,0.91,0.24,0.9807,0.0003,0.1234,0.0004
vit-base,GLOBAL,blur,0.4578,0.01,0.4356,0.0099,0.468,0.5065,4.84,95.16,1.43,-0.0006,"[np.float64(-0.0071), np.float64(0.0054)]",3.58,0.49,0.76,0.17,0.9182,0.0011,0.2489,0.0102
vit-base,GLOBAL,dust,0.4578,0.01,0.4443,0.01,0.4773,0.5108,2.93,97.07,1.43,-0.0143,"[np.float64(-0.0222), np.float64(-0.0062)]",9.92,0.75,0.3,0.11,0.8771,0.0022,0.2716,0.0117
vit-base,GLOBAL,fold,0.4578,0.01,0.3869,0.0096,0.4325,0.4326,15.47,84.53,1.99,-0.0012,"[np.float64(-0.0128), np.float64(0.0115)]",28.65,1.2,1.44,0.24,0.6582,0.0032,0.5345,0.0324
vit-base,GLOBAL,marker,0.4578,0.01,0.4313,0.0097,0.4629,0.4884,5.77,94.23,1.37,-0.0133,"[np.float64(-0.0214), np.float64(-0.0055)]",9.03,0.79,0.55,0.15,0.8306,0.0017,0.3698,0.0191
vit-base,GLOBAL,prec,0.4578,0.01,0.3653,0.0103,0.3982,0.3951,20.19,79.81,2.35,-0.0115,"[np.float64(-0.0247), np.float64(0.0011)]",34.95,1.31,2.23,0.31,0.5788,0.0036,0.5961,0.0283
vit-base,GLOBAL,stitch,0.4578,0.01,0.4558,0.01,0.4846,0.5347,0.42,99.58,1.01,-0.0005,"[np.float64(-0.0049), np.float64(0.0041)]",0.41,0.17,0.73,0.17,0.9792,0.0002,0.1279,0.0
